PracticeImage,ImageCategory,SoundFile,CorrectAns,ReactivityImage1,PictureRatings_1,prac_reac_loop.thisRepN,prac_reac_loop.thisTrialN,prac_reac_loop.thisN,prac_reac_loop.thisIndex,reac_1_loop.thisRepN,reac_1_loop.thisTrialN,reac_1_loop.thisN,reac_1_loop.thisIndex,prt_1_loop.thisRepN,prt_1_loop.thisTrialN,prt_1_loop.thisN,prt_1_loop.thisIndex,slide1_headphones.started,slide1_headphones.stopped,slide1_headphones_resp.keys,slide1_headphones_resp.rt,slide1_headphones_resp.started,slide1_headphones_resp.stopped,reac_info_1.started,reac_info_1.stopped,reac_info_1_resp.keys,reac_info_1_resp.rt,reac_info_1_resp.started,reac_info_1_resp.stopped,reac_info_2.started,reac_info_2.stopped,reac_info_2_resp.keys,reac_info_2_resp.rt,reac_info_2_resp.started,reac_info_2_resp.stopped,reac_info_3.started,reac_info_3.stopped,reac_info_3_resp.keys,reac_info_3_resp.rt,reac_info_3_resp.started,reac_info_3_resp.stopped,blank_5seconds.started,blank_5seconds.stopped,practice_reac_image.started,practice_reac_image.stopped,practice_reac_sound.started,practice_reac_sound.stopped,practice_reac_keys.keys,practice_reac_keys.corr,practice_reac_keys.started,practice_reac_keys.stopped,blank_1second.started,blank_1second.stopped,practice_reac_keys.rt,post_prac_reac_text.started,post_prac_reac_text.stopped,post_prac_reac_resp.keys,post_prac_reac_resp.rt,post_prac_reac_resp.started,post_prac_reac_resp.stopped,reac_1_image.started,reac_1_image.stopped,reac_1_sound.started,reac_1_sound.stopped,reac_1_keys.keys,reac_1_keys.corr,reac_1_keys.rt,reac_1_keys.started,reac_1_keys.stopped,blank2_1second.started,blank2_1second.stopped,postreac1_slide1_text.started,postreac1_slide1_text.stopped,postreac1_slide1_resp.keys,postreac1_slide1_resp.rt,postreac1_slide1_resp.started,postreac1_slide1_resp.stopped,postreac1_slide2_text.started,postreac1_slide2_text.stopped,postreac1_slide2_resp.keys,postreac1_slide2_resp.rt,postreac1_slide2_resp.started,postreac1_slide2_resp.stopped,postreac1_slide3_text.started,postreac1_slide3_text.stopped,postreac1_slide3_resp.keys,postreac1_slide3_resp.rt,postreac1_slide3_resp.started,postreac1_slide3_resp.stopped,prt_1_image.started,prt_1_image.stopped,prt_1_image_intensity.started,prt_1_image_intensity.stopped,prt_1_image_intensity_resp.keys,prt_1_image_intensity_resp.rt,prt_1_image_intensity_resp.started,prt_1_image_intensity_resp.stopped,prt_1_image_intensity_text.started,prt_1_image_intensity_text.stopped,prt_1_vas.response,prt_1_vas.rt,prt_1_vas.started,prt_1_vas.stopped,prt_1_vas_guide.started,prt_1_vas_guide.stopped,prt_1_vas_instructions.started,prt_1_vas_instructions.stopped,blank_10seconds.started,blank_10seconds.stopped,pre_m_text.started,pre_m_text.stopped,pre_m_resp.keys,pre_m_resp.rt,pre_m_resp.started,pre_m_resp.stopped,m_audio_file.started,m_audio_file.stopped,m_inprogress_text.started,m_inprogress_text.stopped,pleasewait_text.started,pleasewait_text.stopped,pleasewait_resp.keys,pleasewait_resp.rt,pleasewait_resp.started,pleasewait_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,9.522336293757917,None,space,14.283915633001925,9.522336293757917,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,703,001,2019_May_02_0937,MAER M R1 P1 v1,3.1.0,59.8985650445283,
,,,,,,,,,,,,,,,,,,,,,,,,23.822187020563433,None,space,19.887213104311513,26.825113291984735,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,703,001,2019_May_02_0937,MAER M R1 P1 v1,3.1.0,59.8985650445283,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.728334504162376,None,space,25.009261668578574,49.73123253146059,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,703,001,2019_May_02_0937,MAER M R1 P1 v1,3.1.0,59.8985650445283,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.75643950980202,None,space,10.160631839059079,79.76144052238396,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,703,001,2019_May_02_0937,MAER M R1 P1 v1,3.1.0,59.8985650445283,
images/7042.jpg,Neutral,sounds/low 4 second.wav,num_1,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.93817391529024,None,95.00156544553897,None,95.00156544553897,None,None,0,95.00156544553897,None,100.94913353641027,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,703,001,2019_May_02_0937,MAER M R1 P1 v1,3.1.0,59.8985650445283,
images/7059.jpg,Neutral,sounds/high 4 second.wav,num_2,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.97058164264195,None,101.97058164264195,None,"['num_2', 'num_1']",0,101.97058164264195,None,107.93950319188639,None,"[0.23127790233911583, 5.035538618429655]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,703,001,2019_May_02_0937,MAER M R1 P1 v1,3.1.0,59.8985650445283,
images/7053.jpg,Neutral,sounds/high 1 second.wav,num_2,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.96700064841275,None,108.96700064841275,None,['num_1'],0,108.96700064841275,None,114.9297679835438,None,[2.226412401453217],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,703,001,2019_May_02_0937,MAER M R1 P1 v1,3.1.0,59.8985650445283,
images/7041.jpg,Neutral,sounds/low 1 second.wav,num_1,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.9697361217693,None,115.9697361217693,None,['num_2'],0,115.9697361217693,None,121.9368575588785,None,[2.1139061441786],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,703,001,2019_May_02_0937,MAER M R1 P1 v1,3.1.0,59.8985650445283,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.95386142231405,None,space,57.357925451139636,125.97413108758496,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,703,001,2019_May_02_0937,MAER M R1 P1 v1,3.1.0,59.8985650445283,
,Pleasant,sounds/low 1 second.wav,num_1,images/1605.jpg,,,,,,0,0,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.3482151817568,None,,,,,,,,,,,,,,,,,,188.39237907459005,None,188.39237907459005,None,num_1,1,2.3808422517658983,188.39237907459005,None,194.35916158222358,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,703,001,2019_May_02_0937,MAER M R1 P1 v1,3.1.0,59.8985650445283,
