PracticeImage,ImageCategory,SoundFile,CorrectAns,ReactivityImage1,PictureRatings_1,prac_reac_loop.thisRepN,prac_reac_loop.thisTrialN,prac_reac_loop.thisN,prac_reac_loop.thisIndex,reac_1_loop.thisRepN,reac_1_loop.thisTrialN,reac_1_loop.thisN,reac_1_loop.thisIndex,prt_1_loop.thisRepN,prt_1_loop.thisTrialN,prt_1_loop.thisN,prt_1_loop.thisIndex,slide1_headphones.started,slide1_headphones.stopped,slide1_headphones_resp.keys,slide1_headphones_resp.rt,slide1_headphones_resp.started,slide1_headphones_resp.stopped,reac_info_1.started,reac_info_1.stopped,reac_info_1_resp.keys,reac_info_1_resp.rt,reac_info_1_resp.started,reac_info_1_resp.stopped,reac_info_2.started,reac_info_2.stopped,reac_info_2_resp.keys,reac_info_2_resp.rt,reac_info_2_resp.started,reac_info_2_resp.stopped,reac_info_3.started,reac_info_3.stopped,reac_info_3_resp.keys,reac_info_3_resp.rt,reac_info_3_resp.started,reac_info_3_resp.stopped,blank_5seconds.started,blank_5seconds.stopped,practice_reac_image.started,practice_reac_image.stopped,practice_reac_sound.started,practice_reac_sound.stopped,practice_reac_keys.keys,practice_reac_keys.corr,practice_reac_keys.rt,practice_reac_keys.started,practice_reac_keys.stopped,blank_1second.started,blank_1second.stopped,post_prac_reac_text.started,post_prac_reac_text.stopped,post_prac_reac_resp.keys,post_prac_reac_resp.rt,post_prac_reac_resp.started,post_prac_reac_resp.stopped,reac_1_image.started,reac_1_image.stopped,reac_1_sound.started,reac_1_sound.stopped,reac_1_keys.keys,reac_1_keys.corr,reac_1_keys.rt,reac_1_keys.started,reac_1_keys.stopped,blank2_1second.started,blank2_1second.stopped,postreac1_slide1_text.started,postreac1_slide1_text.stopped,postreac1_slide1_resp.keys,postreac1_slide1_resp.rt,postreac1_slide1_resp.started,postreac1_slide1_resp.stopped,postreac1_slide2_text.started,postreac1_slide2_text.stopped,postreac1_slide2_resp.keys,postreac1_slide2_resp.rt,postreac1_slide2_resp.started,postreac1_slide2_resp.stopped,postreac1_slide3_text.started,postreac1_slide3_text.stopped,postreac1_slide3_resp.keys,postreac1_slide3_resp.rt,postreac1_slide3_resp.started,postreac1_slide3_resp.stopped,prt_1_image.started,prt_1_image.stopped,prt_1_image_intensity.started,prt_1_image_intensity.stopped,prt_1_image_intensity_resp.keys,prt_1_image_intensity_resp.rt,prt_1_image_intensity_resp.started,prt_1_image_intensity_resp.stopped,prt_1_image_intensity_text.started,prt_1_image_intensity_text.stopped,prt_1_vas.response,prt_1_vas.rt,prt_1_vas.started,prt_1_vas.stopped,prt_1_vas_guide.started,prt_1_vas_guide.stopped,prt_1_vas_instructions.started,prt_1_vas_instructions.stopped,blank_10seconds.started,blank_10seconds.stopped,pre_m_text.started,pre_m_text.stopped,pre_m_resp.keys,pre_m_resp.rt,pre_m_resp.started,pre_m_resp.stopped,m_audio_file.started,m_audio_file.stopped,m_inprogress_text.started,m_inprogress_text.stopped,pleasewait_text.started,pleasewait_text.stopped,pleasewait_resp.keys,pleasewait_resp.rt,pleasewait_resp.started,pleasewait_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,9.335451645102694,None,space,27.402480437916893,9.335451645102694,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,761,001,2019_May_13_1115,MAER M R1 P1 v1,3.1.0,59.94218528793595,
,,,,,,,,,,,,,,,,,,,,,,,,36.75371185311178,None,space,21.65559045010923,39.75667718911791,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,761,001,2019_May_13_1115,MAER M R1 P1 v1,3.1.0,59.94218528793595,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.42836951289701,None,space,24.39208087924635,64.43094423822276,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,761,001,2019_May_13_1115,MAER M R1 P1 v1,3.1.0,59.94218528793595,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.8391979020007,None,space,10.878107833786999,93.84415805670596,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,761,001,2019_May_13_1115,MAER M R1 P1 v1,3.1.0,59.94218528793595,
images/7053.jpg,Neutral,sounds/high 1 second.wav,num_2,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.73830857162102,None,109.81326736219398,None,109.81326736219398,None,['num_2'],0,[2.983775835141387],109.81326736219398,None,115.74919999927897,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,761,001,2019_May_13_1115,MAER M R1 P1 v1,3.1.0,59.94218528793595,
images/7041.jpg,Neutral,sounds/low 1 second.wav,num_1,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.78768686965213,None,116.78768686965213,None,['num_1'],0,[2.3160869703697244],116.78768686965213,None,122.73965527706059,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,761,001,2019_May_13_1115,MAER M R1 P1 v1,3.1.0,59.94218528793595,
images/7042.jpg,Neutral,sounds/low 4 second.wav,num_1,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.78036021516073,None,123.78036021516073,None,None,0,,123.78036021516073,None,129.7464975743078,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,761,001,2019_May_13_1115,MAER M R1 P1 v1,3.1.0,59.94218528793595,
images/7059.jpg,Neutral,sounds/high 4 second.wav,num_2,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.77923104982347,None,130.77923104982347,None,['num_2'],0,[4.789569613133608],130.77923104982347,None,136.7369835000036,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,761,001,2019_May_13_1115,MAER M R1 P1 v1,3.1.0,59.94218528793595,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.75628958313519,None,space,37.83841277453212,140.77441482013,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,761,001,2019_May_13_1115,MAER M R1 P1 v1,3.1.0,59.94218528793595,
,Pleasant,sounds/high 4 second.wav,num_2,images/2311.jpg,,,,,,0,0,0,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.62888590021703,None,,,,,,,,,,,,,,,,,,183.6844184197571,None,183.6844184197571,None,num_2,1,5.172206727998855,183.6844184197571,None,189.6394495153736,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,761,001,2019_May_13_1115,MAER M R1 P1 v1,3.1.0,59.94218528793595,
